[21:20:33] UDP debugger initialized OK
[21:20:34] Initialized telemetry.
[21:20:34] Initialized sensor.
[21:21:05] [4.81008696556] Data read
[21:21:05] [4.82196307182] Data read
[21:21:05] [4.83433818817] Data read
[21:21:05] [4.84562206268] Data read
[21:21:05] [4.85832118988] Data read
[21:21:05] [4.86961507797] Data read
[21:21:05] [4.88190698624] Data read
[21:21:05] [4.89412808418] Data read
[21:21:05] [4.90607905388] Data read
[21:21:05] [4.9178211689] Data read
[21:21:05] [4.92996907234] Data read
[21:21:05] [4.94185113907] Data read
[21:21:05] [4.9545750618] Data read
[21:21:05] [4.96689796448] Data read
[21:21:05] [4.97830510139] Data read
[21:21:05] [4.99380111694] Data read
[21:21:05] [5.00186109543] Data read
[21:21:05] [5.01367115974] Data read
[21:21:05] [5.0260989666] Data read
[21:21:05] [5.03783202171] Data read
[21:21:05] [5.04983401299] Data read
[21:21:05] [5.0618121624] Data read
[21:21:05] [5.07431006432] Data read
[21:21:05] [5.08547616005] Data read
[21:21:05] [5.09768819809] Data read
[21:21:05] [5.10968518257] Data read
[21:21:05] [5.12186598778] Data read
[21:21:05] [5.13358402252] Data read
[21:21:05] [5.14588117599] Data read
[21:21:05] [5.15726399422] Data read
[21:21:05] [5.16975307465] Data read
[21:21:05] [5.18172597885] Data read
[21:21:05] [5.1944000721] Data read
[21:21:05] [5.20683407784] Data read
[21:21:05] [5.21758103371] Data read
[21:21:05] [5.2294549942] Data read
[21:21:05] [5.241492033] Data read
[21:21:05] [5.25333404541] Data read
[21:21:05] [5.26573705673] Data read
[21:21:05] [5.27761006355] Data read
[21:21:05] Sent heartbeat (3)
[21:21:05] [5.29038000107] Data read
[21:21:05] [5.30108308792] Data read
[21:21:05] [5.31341218948] Data read
[21:21:05] [5.32581305504] Data read
[21:21:05] [5.3376250267] Data read
[21:21:05] [5.34921002388] Data read
[21:21:05] [5.36181402206] Data read
[21:21:05] [5.37314319611] Data read
[21:21:05] [5.38564801216] Data read
[21:21:05] [5.39715313911] Data read
[21:21:05] [5.40943717957] Data read
[21:21:05] [5.42116713524] Data read
[21:21:05] [5.43365216255] Data read
[21:21:05] [5.44520401955] Data read
[21:21:05] [5.45757699013] Data read
[21:21:05] [5.46886110306] Data read
[21:21:05] [5.48136305809] Data read
[21:21:05] [5.4930460453] Data read
[21:21:05] [5.50561213493] Data read
[21:21:05] [5.51728010178] Data read
[21:21:05] [5.52967309952] Data read
[21:21:05] [5.54119515419] Data read
[21:21:05] [5.55345511436] Data read
[21:21:05] [5.56482696533] Data read
[21:21:05] [5.57740616798] Data read
[21:21:05] [5.589220047] Data read
[21:21:05] [5.60126209259] Data read
[21:21:05] [5.61305904388] Data read
[21:21:05] [5.62516903877] Data read
[21:21:05] [5.63710904121] Data read
[21:21:05] [5.64924311638] Data read
[21:21:05] [5.66141700745] Data read
[21:21:06] [5.67300915718] Data read
[21:21:06] [5.68550014496] Data read
[21:21:06] [5.6973130703] Data read
[21:21:06] [5.70874810219] Data read
[21:21:06] [5.72102808952] Data read
[21:21:06] [5.7329890728] Data read
[21:21:06] [5.74503016472] Data read
[21:21:06] [5.75722098351] Data read
[21:21:06] [5.76897907257] Data read
[21:21:06] [5.78062701225] Data read
[21:21:06] [5.79321599007] Data read
[21:21:06] [5.80460619926] Data read
[21:21:06] [5.81965303421] Data read
[21:21:06] [5.82965111732] Data read
[21:21:06] [5.84137916565] Data read
[21:21:06] [5.85259699821] Data read
[21:21:06] [5.86495018005] Data read
[21:21:06] [5.87701106071] Data read
[21:21:06] [5.88901209831] Data read
[21:21:06] [5.90047717094] Data read
[21:21:06] [5.91301202774] Data read
[21:21:06] [5.92476606369] Data read
[21:21:06] [5.93721818924] Data read
[21:21:06] [5.94859719276] Data read
[21:21:06] [5.96116900444] Data read
[21:21:06] [5.97262597084] Data read
[21:21:06] [5.98509907722] Data read
[21:21:06] [5.99657797813] Data read
[21:21:06] [6.00902605057] Data read
[21:21:06] [6.02141809464] Data read
[21:21:06] [6.03302717209] Data read
[21:21:06] [6.04435110092] Data read
[21:21:06] [6.0568010807] Data read
[21:21:06] [6.06820607185] Data read
[21:21:06] [6.08100819588] Data read
[21:21:06] [6.09249401093] Data read
[21:21:06] [6.10456204414] Data read
[21:21:06] [6.1170899868] Data read
[21:21:06] [6.12998604774] Data read
[21:21:06] [6.14033603668] Data read
[21:21:06] [6.15288805962] Data read
[21:21:06] [6.16419506073] Data read
[21:21:06] [6.17676305771] Data read
[21:21:06] [6.18847417831] Data read
[21:21:06] [6.2005751133] Data read
[21:21:06] [6.21288013458] Data read
[21:21:06] [6.22474908829] Data read
[21:21:06] [6.23604917526] Data read
[21:21:06] [6.24883413315] Data read
[21:21:06] [6.26043605804] Data read
[21:21:06] [6.27245998383] Data read
[21:21:06] [6.28410696983] Data read
[21:21:06] Sent heartbeat (3)
[21:21:06] [6.29667401314] Data read
[21:21:06] [6.30826115608] Data read
[21:21:06] [6.32044816017] Data read
[21:21:06] [6.33182311058] Data read
[21:21:06] [6.34463214874] Data read
[21:21:06] [6.35589504242] Data read
[21:21:06] [6.36944913864] Data read
[21:21:06] [6.38032412529] Data read
[21:21:06] [6.39216208458] Data read
[21:21:06] [6.40382218361] Data read
[21:21:06] [6.41624116898] Data read
[21:21:06] [6.42802810669] Data read
[21:21:06] [6.4405040741] Data read
[21:21:06] [6.45184516907] Data read
[21:21:06] [6.46429896355] Data read
[21:21:06] [6.47615599632] Data read
[21:21:06] [6.48805618286] Data read
[21:21:06] [6.50067710876] Data read
[21:21:06] [6.51218605042] Data read
[21:21:06] [6.52368211746] Data read
[21:21:06] [6.53626513481] Data read
[21:21:06] [6.54776406288] Data read
[21:21:06] [6.56061911583] Data read
[21:21:06] [6.57183218002] Data read
[21:21:06] [6.58411002159] Data read
[21:21:06] [6.59559416771] Data read
[21:21:06] [6.60815405846] Data read
[21:21:06] [6.61962604523] Data read
[21:21:06] [6.63195014] Data read
[21:21:06] [6.64358115196] Data read
[21:21:06] [6.65590500832] Data read
[21:21:07] [6.66772198677] Data read
[21:21:07] [6.68014502525] Data read
[21:21:07] [6.69185304642] Data read
[21:21:07] [6.70386719704] Data read
[21:21:07] [6.71591496468] Data read
[21:21:07] [6.72812104225] Data read
[21:21:07] [6.73950505257] Data read
[21:21:07] [6.75199604034] Data read
[21:21:07] [6.76377606392] Data read
[21:21:07] [6.77609705925] Data read
[21:21:07] [6.78761315346] Data read
